geonames datasets sourced from geonames.org under opensource attribution license
geonames datasets downloaded from https://data.opendatasoft.com
opendatasoft dataset identifier geonames-all-cities-with-a-population-1000@public
opensoft url https://data.opendatasoft.com/explore/dataset/geonames-all-cities-with-a-population-1000%40public/information/
This file is extracted from the download
"CITY_NAME"|"CITY_NAME_UNICODE"|"COUNTRY_CODE"|"COUNTRY_NAME"|"POPULATION"|"TIME_ZONE_NAME"|"LATITUDE"|"LONGITUDE"
"Kushkak"|"Kushkak"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"32.28991"|"61.52194"
"La'l"|"La‘l"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.50141"|"66.27997"
"Lab-Sar"|"Lab-Sar"|"AF"|"Afghanistan"|1068|"Asia/Kabul"|"36.02634"|"66.83799"
"Langar"|"Langar"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.99474"|"68.05081"
"Larkird"|"Larkird"|"AF"|"Afghanistan"|11635|"Asia/Kabul"|"35.48936"|"66.66409"
"Lash"|"Lāsh"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.3782"|"64.77457"
"Lash-e Juwayn"|"Lāsh-e Juwayn"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"31.71382"|"61.62272"
"Lashkar Gah"|"Lashkar Gāh"|"AF"|"Afghanistan"|43934|"Asia/Kabul"|"31.59382"|"64.37161"
"Maidan Khulah"|"Maīdān Khūlah"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"33.64916"|"69.7812"
"Mama Khel"|"Māmā Khēl"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.24494"|"69.9968"
"Mandol"|"Mandōl"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"35.28403"|"70.17017"
"Manogay"|"Māṉōgay"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"34.99015"|"70.91302"
"March"|"March"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"37.52845"|"70.4482"
"Mardian"|"Mardīān"|"AF"|"Afghanistan"|0|"Asia/Kabul"|"36.99252"|"66.29654"
"Markaz-e Hukumat-e Darweshan"|"Markaz-e Ḩukūmat-e Darwēshān"|"AF"|"Afghanistan"|9012|"Asia/Kabul"|"31.13231"|"64.1934"
